iso3,year,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct
BLZ,2023,45739.0,411106.0,0.11125841023969488,,81.11878967285156
BLZ,2024,46389.0,417072.0,0.11122539993094717,,80.72032928466797
BLZ,2025,46333.0,,,,
BMU,2010,4213.0,63725.0,0.06611220086308356,1.655392050743103,37.33512115478516
BMU,2011,4185.0,63733.0,0.06566456937536284,,37.08304977416992
BMU,2012,4164.0,63646.0,0.06542437859409861,,37.45256042480469
BMU,2013,4140.0,63574.0,0.06512096139931418,,37.33623886108398
BMU,2014,4077.0,63529.0,0.06417541595177005,1.740810036659241,36.73170852661133
BMU,2015,4039.0,63464.0,0.06364237993192991,1.71458899974823,37.66577911376953
BMU,2016,3993.0,63449.0,0.06293243392330848,,
BMU,2017,3976.0,63578.0,0.06253735568907484,1.543277025222778,
BMU,2018,3951.0,63831.0,0.06189782394134512,,
BMU,2019,3905.0,64107.0,0.06091378476609419,,
BMU,2020,3825.0,64382.0,0.05941101550122705,,
BMU,2021,3744.0,64648.0,0.0579136245514169,,
BMU,2022,3686.0,64749.0,0.05692752011614079,,
BMU,2023,3637.0,64698.0,0.056215029830906676,,44.0035514831543
BMU,2024,3566.0,64636.0,0.05517049322359057,,
BMU,2025,3497.0,,,,
BOL,2010,1368902.0,10182345.0,0.1344387761365383,,8.19696044921875
BOL,2011,1377015.0,10348929.0,0.13305869621871017,,8.395130157470703
BOL,2012,1384586.0,10515807.0,0.13166711789214086,,8.764450073242188
BOL,2013,1391884.0,10682608.0,0.13029440001917134,,9.139030456542969
BOL,2014,1398425.0,10848888.0,0.12890030757069296,,9.43677043914795
BOL,2015,1403726.0,11014705.0,0.12744108898059459,0.136148601770401,9.710880279541016
BOL,2016,1407615.0,11180020.0,0.1259045153765378,,9.991450309753418
BOL,2017,1410051.0,11344587.0,0.12429284556590733,,10.13656044006348
BOL,2018,1411334.0,11508368.0,0.12263545969332924,,10.27663993835449
BOL,2019,1411408.0,11671386.0,0.12092891109933301,,10.43844032287598
BOL,2020,1411133.0,11816299.0,0.11942258739390396,,10.4506196975708
BOL,2021,1410579.0,11937360.0,0.118165071674139,,9.112480163574219
